Timestamp,Game Title,Steam URL,Steam AppID,Why do you think your game would be a fit?,Will the game be in released state by September 24?,Does the game have a Demo available September 24 - October 1st?,Do you plan a Discount during the event?,Will there be a major announcement and/or feature during the event?,"If you answered Yes to the previous question, please elaborate:",Contact email
9/2/2026 10:23:21,Roll for Order: Sort Every Set!,https://store.steampowered.com/app/5061290/Roll_for_Order_Sort_Every_Set/,5061290,Roll for Order is a cozy and relaxing sorting game. As the event may accept cozy game we would love to be able to partecipate!,No,Yes,No,Yes,We might announce we are going to partecipate into the October Steam Next Fest with an updated/new demo,frostearthstudio@hotmail.com
9/2/2026 10:56:59,Cone Sweet Cone,https://store.steampowered.com/app/4632310/Cone_Sweet_Cone/,4632310,"Cone Sweet Cone is not a desktop companion game, but it is a ""cozy"" game which you may consider for the event! It is a relaxing cooking sim, where you run an ice cream truck from animals from a fixed perspective, creating desserts such as ice cream, waffles and banana splits. ",No,No,No,No,NA,sleepyrocketgames@gmail.com
9/2/2026 12:55:13,Imagine Sisyphus Happy,https://store.steampowered.com/app/3959020/Imagine_Sisyphus_Happy/,3959020,"While the game is ""non-idle incremental"" - it can be played idly (especially on lower difficulties), in the background and still earn you progress slowly (or faster when you occasionally engage). It also has a ""small resolution"" + ""on top of other windows"" settings, so it can be put in the corner to be engaged every now and then.
We were also part of ""TaskbarTreasureWeek""! :)",No,Yes,No,Yes,We will announce dates of the next demo update (planned for ~October 8).,rakudajin@unplaythegame.com
9/2/2026 14:46:13,Clean Start,https://store.steampowered.com/app/3577020/Clean_Start/,3577020,"Clean Start is a cozy cleaning game so it's not your primary pick for sure, but it has this nice companion vibe of helping other people in the game. I will completly understand the rejection. Have a great event. :)",No,Yes,No,Yes,We will announce localisation playtests. We'd like to reach as many players as possible.,katarzyna.haptas@serioussim.net
9/2/2026 15:46:12,The Greenening,https://store.steampowered.com/app/3441280/The_Greenening/,3441280,It's a cozy incremental game (not a desktop companion though),Yes,Yes,No,No,"I just want to elaborate on my No instead: My game is currently on discount, so unfortunately on cooldown for the event. Also worth considering: Probably a lot of desktop companion and cozy incremental games will also be in the ""Event about Incrementals"" (Oct 8-22) and will have to choose which of the two events to discount for. (might be worth a thought to reschedule if that turns out to be a problem)",erkberggames@gmail.com
9/2/2026 19:07:37,Infinity Bounce,https://store.steampowered.com/app/4572170/Infinity_Bounce/,4572170,You mentioned that you might include cozy games as well and since the game is about feeding a very hungry space cat - I thought there is some overlap :),No,Yes,No,Yes,new demo update,marco@strayfawnstudio.com
9/3/2026 1:00:26,Land of Manifestations: Sanctuary,https://store.steampowered.com/app/4038290/_/,4038290,"Companions are at the heart of Land of Manifestations: Sanctuary: players build a Sanctuary where rescued companions can live, follow their own daily routines, and become part of a growing community. Players can spend time with them through conversations, gifts, dates, and personal storylines, gradually forming deeper relationships. Creating a warm and comfortable home shared with these companions is one of the most important experiences we want the game to offer, which we believe makes it a strong fit for a companion-focused festival.",No,No,No,No,,silencesquare@gmail.com
9/3/2026 3:16:15,Eastern Dream,https://store.steampowered.com/app/5021270/Eastern_Dream/,5021270,"Eastern Dream is a cozy, hand?painted narrative experience that aligns well with the event’s optional “cozy games” category. While the event primarily highlights desktop companion titles, the organizers have stated they are also considering cozy, relaxing, and atmosphere?driven games, and Eastern Dream fits that space naturally.

The game’s fully handcrafted art, gentle exploration, and warm cultural inspirations create a soothing, imaginative environment that appeals to the same audience who enjoys calm, low-pressure companion experiences. Its focus on rebuilding a forgotten world, uncovering memories, and progressing through a storybook-like city gives it the emotional and aesthetic qualities that cozy players look for.",No,No,No,No,,arokogamestudio@gmail.com
9/3/2026 5:12:17,Beachside Cafe Simulator ,https://store.steampowered.com/app/3877830/Beachside_Cafe_Simulator/,3877830,Our game is not desktop companion but if you're considering including cozy games then I think our game would be a good fit as it focuses on a warm and relaxing beachside ambiance with a lot of satisfying cooking mini games ,No,No,No,No,,louisgirard.games@gmail.com
9/3/2026 9:32:03,Might & Mushroom,https://store.steampowered.com/app/4231860,4231860,"Although Might & Mushroom features tactical auto-battler mechanics, it strongly embraces the cozy theme. Its vibrant, whimsical art style and endearing mushroom characters fit an autumn showcase naturally. Furthermore, because combat is 100% automated, the gameplay offers a relaxing, hands-off loop where players can sit back, unwind, and watch their cute fungal squad do the work—sharing the low-stress, delightful appeal that desktop companion and cozy game players love.",No,Yes,No,Yes,"Yes! During the event, we will announce and launch a major Demo update, introducing a brand-new asynchronous multiplayer mode, new mushroom characters, and an expanded pool of strategic items and relics.",kian@erabitstudios.com
9/3/2026 15:24:11,Placid Plastic Desktop,https://store.steampowered.com/app/2852770/Placid_Plastic_Desktop/,2852770,"Because it brings Steam's favorite ducks directly to your desktop! Choose from a vibrant selection of rubber ducks and let them help you stay focused at your desk. Whether you're working, studying, or playing, these are the ducks that will always be by your side.",Yes,No,Yes,No,,valerio@turbolentogames.com
9/3/2026 15:26:16,Sensei! I like you so much! ,https://store.steampowered.com/app/2957700/_/,2957700,,Yes,No,Yes,No,,ryan@erabitstudios.com
9/3/2026 20:34:09,Intentional Bugs,https://store.steampowered.com/app/3875530/Intentional_Bugs/,3875530,"This game exists as a window overlay on a desktop to be dragged around searching for different bugs living in the computer. The bugs are friendly and can be pet, fed, and named as new discoveries",Yes,Yes,Yes,No,,wandermarch@proton.me
9/5/2026 14:18:52,isekizima: Ruins and Tails Journey,https://store.steampowered.com/app/2686820/_/,2686820,"This is a 2D action game, but all of its stages are set in cozy natural environments. Even when the player enters a building, it is an ancient ruin covered with grass and plants.
The game also has relaxing folk-inspired music.
I hope players will sometimes stop moving and simply enjoy the environment. When they do, Kijino, the player character, will slowly lie down and take a nap.",No,Yes,No,No,,steam@ij7.jp
9/5/2026 20:43:16,Palettopia,https://store.steampowered.com/app/3004170/Palettopia/,3004170,"We were a part of the Taskbar Treasures event last year and really enjoyed participating along side so many excellent cozy games! 

While we’re not a desktop companion game, we do feature cute little critters and a relaxing gameplay that can be easily picked up and played for a bit to help users unwind and relax. During our recent playtest, we received lots of great feedback around our game such as - “It's stimulating without being stressful” , and “It's relaxing and wholesome, the sort of game you pick up when you want to unwind but still be engaged.” 

We love your Autumn theming and think it looks so cute. Our Temperate Biome with fall vibes and falling leaves would be a great fit to show off, including all the cute critters that live there such as racoons, foxes, deer, and adorable bison. We hope you’ll consider adding our little world to your event! ",No,No,No,No,"We won't have a playable demo up but would love to coordinate running a playtest with you! We could market it as a playtest just around your event, showing off our Temperate Biome specifically to players. ",cassie.sigrest@ohwow.games
9/7/2026 20:11:05,Muse Corner,https://store.steampowered.com/app/3728940/Muse_Corner/,3728940,"It's a desktop companion ""game"" that you helps you on managing your tasks.",Yes,Yes,Yes,No,,emirbas@theaquilagames.com
9/7/2026 20:32:59,Something Meaningful,https://store.steampowered.com/app/4006300/Something_Meaningful/,4006300,"Something Meaningful is a life sim RPG set in a corporate afterlife with a Windows 98/webcore aesthetic. It features adoptable pets that live on the player's taskbar as desktop companions, alongside cozy, slice of life systems like house customization and light minigames.",No,Yes,No,Yes,"We plan to run an open playtest with a new, never-before-shown build alongside the event.",monamiinteractive@gmail.com
9/8/2026 12:28:44,Super Zoo Story,https://store.steampowered.com/app/1631920/Super_Zoo_Story/,1631920,"Super Zoo Story is a cozy game where you take care of animals and dinosaurs at the zoo, enjoying relaxing gameplay and the chance to find love.",No,No,No,No,,viktor@crytivo.com
9/8/2026 13:32:30,Terrafactory: Idle Planet,https://store.steampowered.com/app/4240570/Terrafactory_Idle_Planet/,4240570,It is an idle desktop companion game about creating planets.,No,Yes,No,Yes,New active feature with stars appearing that needs to be collected by the player.,m.soignon.dev@gmail.com
9/8/2026 14:20:23,Rhythm Hotel,https://store.steampowered.com/app/3253930/Rhythm_Hotel/,3253930,"We are submitting Rhythm Hotel for consideration under your additional cozy-game selection. It is a single-player, story-driven rhythm game with simple one-button controls, colorful hand-drawn characters, and a playful hotel full of eccentric guests. Its character-focused humor and accessible controls may appeal to players looking for cheerful casual experiences. A free playable Steam demo is available: https://store.steampowered.com/app/3803790/Rhythm_Hotel_Demo/ . The full game is currently unreleased and listed for 2026; an exact release date has not been confirmed.",,Yes,No,No,,syncarcstudio@gmail.com
9/8/2026 15:39:09,Meander,https://store.steampowered.com/app/4714860/Meander/,4714860,"It is a cozy crafts game with crochet-drawing, animating and scrapbooking. Not a desktop companion, but the description mentions cozy games might be considered. ",No,Yes,No,No,,matchstick345@gmail.com
9/8/2026 16:00:54,Tulip Season,https://store.steampowered.com/app/4067890/Tulip_Season/,4067890,"Because Tulip Season has an idle mode and can sit tightly in the corner of the screen, showing you how Wilhelmina is taking care of your tulip field while you work :)",Yes,Yes,Yes,No,25% discount (there was no field to state the number),kartashovata@gmail.com
9/8/2026 16:06:00,Macrolens: The Slimes,https://store.steampowered.com/app/4115690/Macro_lens_The_Slimes/,4115690,"Because at its core, it’s an idle game that sits on your desktop screen. It’s meant to help players relax.","Yes, Released",Yes,No,No,,lunaemon.studio@gmail.com
9/8/2026 16:25:03,Paddle Cats,https://store.steampowered.com/app/3289160/Paddle_Cats/?utm_source=chrisz&utm_campaign=zen,3289160,"Only if there a cozy game slot is open, we are a new title that currently only has a steam page. Thank you for your consideration.",No,No,No,No,,paddlecatsgame@gmail.com
9/8/2026 16:35:42,Slots & Diapers,https://store.steampowered.com/app/4409870,4409870,"Our game is also an idler if player likes to play as, and it is actually a cozy experience through out the game. I know it sounds weird while checking out the game name & the concept itself, but most of our players find it a cozy gambling experience with its surrounding lights & sound effects. So, these are the reasons why we think it might be a fit, and we wanted to take our chance :)",Yes,No,No,Yes,"We are planning to announce our mobile release! We have ported our debut game to mobile, and willing to share with our players. Its not released yet, we can wait for the event to release it.",press@parodiegames.com
9/8/2026 16:36:28,Missi,https://store.steampowered.com/app/3161960/Missi/,3161960,"We tried to create a cute and cozy game with watercolor graphics, reminiscent of illustrations from children's books. The game has classic frame-by-frame animation. We also added magical music, in which the piano, violin, brass and other classical instruments intertwine. ",No,Yes,No,No,,emovlev@gmail.com
9/8/2026 17:01:00,Desktop Ant Farm Simulator ,https://store.steampowered.com/app/3874370/Desktop_Ant_Farm_Simulator/,3874370,"It's a desktop companion type game, idle ant farm","No, Upcoming",No,No,Yes,,beefcatstudios@gmail.com
9/8/2026 17:05:34,Mutate! Fight! Purr!,https://store.steampowered.com/app/4171610/Mutate_Fight_Purr/,4171610,"Mutate! Fight! Purr! is a dark roguelike deck-builder with ability to play with friends, where you play as a satanic cat, mutating into a hellish abomination. Wage turn-based tactical battles against festering infernal hordes, summon creepy minions, and build your cursed Also, the cat protagonist and summoned minion companions create a distinctive ""companion"" loop — you grow your army and reshape your build each run through meaningful mutations and synergy-driven cards. Combat is turn-based and tactical, focused on positioning, initiative management, and smart combinations rather than raw numbers. While the tone is dark rather than cozy, the game offers an approachable tactical experience with friends, or playing alone.",No,Yes,No,Yes,"We plan to highlight our public demo during the event and share a development update showcasing new mutations, minion synergies, and tactical combat improvements ahead of the 2027 release.",kovnir.alik@gmail.com
9/8/2026 17:10:00,Fishing On My Desktop,https://store.steampowered.com/app/3263340/_/,3263340,"Fishing On My Desktop is an idle fishing game that runs on your desktop as a floating button. The game features a variety of fish, unique rod and bait options, and several interesting NPCs. Come and enjoy the fun of fishing!","Yes, Released",No,No,No,,stclaudia@qq.com
9/8/2026 17:12:00,My Eggduck (Desktop Random Idle Clicker),https://store.steampowered.com/app/4169930/My_Eggduck_Desktop_Random_Idle_Clicker/,4169930,"Our game features a cute duck that becomes your desktop pet.
It's an idle game that plays itself, with resources earned through a clicker-style mechanic.
The game is peaceful, and the duck comfortably settles on your screen, allowing you to run it even while working.
In short, it's a cozy desktop idle clicker game.","No, Upcoming",No,No,No,,10001.zip@gmail.com
9/8/2026 17:24:00,Just Fish - Idle Aquarium,https://store.steampowered.com/app/3946700/Just_Fish_Idle_Aquarium/,3946700,"It's a cozy idle incremental aquarium game, that can be opened as a small window in the corner of the screen or just used like second-screen-wallpaper","No, Upcoming",Yes,No,Yes,"I plan to add new content and feature this week - decor, rotate-around-aquarium-scroll, add new popup-windows with newely aquaired and first-time-growed fish. And more sfx to UI. Maybe even new trailer if it will be necessary rule. Can't use ""Major Announcement"" because did one few weeks ago",cosmo.turtle.help@gmail.com
9/8/2026 17:49:00,Screen Greens ,https://store.steampowered.com/app/3679570/Screen_Greens/,3679570,Because it's an overlay game in a transparent window on top of the desktop.,"Yes, Released",Yes,Yes,Yes,,playfulfoxstudio@gmail.com
9/8/2026 17:54:00,Nekotype Keyboard Cat Simulator,https://store.steampowered.com/app/4078150/Nekotype_Keyboard_Cat_Simulator/,4078150,Desktop idle,"Yes, Released",No,Yes,Yes,Release,
9/8/2026 18:44:59,Shipolis,store.steampowered.com/app/4573540/Shipolis/,4573540,"""We're also considering including ""cozy"" games"" -> Shipolis is a cozy city builder where you play at your own pace with no lose condition. If you decide to include cozy games in the event, I believe Shipolis could be a a good fit.",No,Yes,No,No,,radiantslothgames@gmail.com
9/8/2026 19:27:53,Hotel Galactic,https://store.steampowered.com/app/2183670/Hotel_Galactic/,2183670,"While Hotel Galactic is not a Desktop Companion Game as such, we received reviews and opinions saying that the game is a great fun for people who like to watch it sort of like an aquarium or play on a second monitor. We're still working on it to make sure that we introduce as much coziness into it as possible. ",No,Yes,No,No,,r.kucia@endgameloop.games
9/9/2026 0:17:45,Author Sim,https://store.steampowered.com/app/4168210/Author_Sim/,4168210,"Author Sim is a cozy management game that invites players to pursue their dream of becoming an author, offering them a welcoming space to explore their creativity, experiment with different ideas, and build their own writing career at their own pace. Furthermore, the game's soft pastel colours and cutesy visuals create a whimsical and cozy atmosphere. Overall, Author Sim is a good fit because it is a cozy game that encourages and celebrates creativity, self-expression, and the pursuit of one's dreams within a warm and comforting environment.",Yes,Yes,Yes,Yes,The DLC Supporter Pack will be newly released (Sept. 21),essytheslug@gmail.com
9/9/2026 0:49:45,The Farmer Was Replaced,https://store.steampowered.com/app/2060160/The_Farmer_Was_Replaced/,2060160,"Honest answer first: The Farmer Was Replaced is not a desktop companion itself. But it has a shipped, official link to one, so I hope it is worth a look.

In April 2026 we built an integration with Bongo Cat together with Irox Games, and with Tap Tap Loot, which Irox Games also publishes. We added a tap() function to our game, so a player writes two lines of Python and our farming drone automates the tapping in Bongo Cat while they get on with something else:

while True:
    tap()

The update announcement reached 139,000 unique views and 996 up votes, the best received post we have ever put out: https://store.steampowered.com/news/app/2060160/view/528750685224702299

That collaboration is still live as a Steam bundle, ""The Typer Was Replaced"", which pairs our game with Tap Tap Loot: https://store.steampowered.com/bundle/72553/The_Typer_Was_Replaced/ If it is useful to you, we would happily bring that bundle into the event, so the sale gets an actual companion crossover on the page rather than just one more entry.

So the connection is functional rather than thematic. Our game is the thing that automates a desktop companion, and it behaves a bit like one in practice: it sits on a second monitor and runs idle in the background while the drone works. Our Steam tags are Programming, Automation, Education, Idler and Logic, and the overlap with the companion and idler audience is exactly why the Bongo Cat collaboration landed so well.

If that is still too far outside your focus, no hard feelings at all, and thanks for putting the event together either way.",Yes,No,No,No,,andri@metaroot.ch
9/9/2026 9:29:12,Tale Sweeper,https://store.steampowered.com/app/4764420/_/,4764420,cozy game,No,Yes,No,No,,asyun0527@gmail.com
